wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster
MFL,2024-08-23 17:08,2024-08-23 18:00,2024-08-23 17:08,202408231800,FA,C,Y,149,NEW,FLC011,3161.671630859375,2024-08-23 17:08,00000,N,ER,OO,False,,,,,,,202408231708-KMFL-WGUS82-FLSMFL,GR
JAX,2024-08-20 00:00,2024-08-20 01:46,2024-08-20 00:00,202408200200,FA,C,Y,221,CAN,FLC031,2169.6953125,2024-08-20 01:46,00000,N,ER,OO,False,,,,,,,202408200000-KJAX-WGUS82-FLSJAX,HESS
JAX,2024-08-20 00:38,2024-08-20 01:46,2024-08-20 00:38,202408200245,FA,C,Y,223,CAN,FLC031,2169.6953125,2024-08-20 01:46,00000,N,ER,OO,False,,,,,,,202408200038-KJAX-WGUS82-FLSJAX,HESS
MOB,2024-09-04 00:00,2024-09-06 00:00,2024-09-03 07:36,202409051200,RP,C,S,30,CON,FLZ202,577.638427734375,2024-09-05 16:17,,,,,False,,,,,,,202409030736-KMOB-WHUS44-CFWMOB,
JAX,2024-08-20 00:11,2024-08-20 01:31,2024-08-20 00:11,202408200215,FA,C,Y,222,CAN,FLC031,2169.6953125,2024-08-20 01:31,00000,N,ER,OO,False,,,,,,,202408200011-KJAX-WGUS82-FLSJAX,HESS
MFL,2024-08-20 06:00,2024-08-21 00:00,2024-08-20 00:11,202408210000,CF,C,S,4,EXP,FLZ069,787.5226440429688,2024-08-20 23:57,,,,,False,,,,,,,202408200011-KMFL-WHUS42-CFWMFL,
MFL,2024-08-20 06:00,2024-08-21 00:00,2024-08-20 00:11,202408210000,CF,C,S,4,EXP,FLZ075,2018.58935546875,2024-08-20 23:57,,,,,False,,,,,,,202408200011-KMFL-WHUS42-CFWMFL,
TBW,2024-08-15 06:00,2024-08-24 01:37,2024-08-15 02:04,202409050600,FL,C,W,17,CAN,FLC101,1981.6519775390625,2024-08-24 01:37,TRBF1,1,ER,NO,False,,,,,,,202408150204-KTBW-WGUS42-FLWTBW,TBW
MFL,2024-08-21 14:00,2024-08-21 22:00,2024-08-20 22:00,202408212200,HT,C,Y,37,CON,FLZ073,2499.4755859375,2024-08-21 05:49,,,,,False,,,,,,,202408202200-KMFL-WWUS72-NPWMFL,NC
MFL,2024-08-21 14:00,2024-08-21 22:00,2024-08-20 22:00,202408212200,HT,C,Y,37,CON,FLZ074,1030.5223388671875,2024-08-21 05:49,,,,,False,,,,,,,202408202200-KMFL-WWUS72-NPWMFL,NC
MFL,2024-08-21 14:00,2024-08-21 22:00,2024-08-20 22:00,202408212200,HT,C,Y,37,CON,FLZ168,297.02288818359375,2024-08-21 05:49,,,,,False,,,,,,,202408202200-KMFL-WWUS72-NPWMFL,NC
MFL,2024-08-21 14:00,2024-08-21 22:00,2024-08-20 22:00,202408212200,HT,C,Y,37,CON,FLZ172,195.8022003173828,2024-08-21 05:49,,,,,False,,,,,,,202408202200-KMFL-WWUS72-NPWMFL,NC
MFL,2024-08-21 14:00,2024-08-21 22:00,2024-08-20 22:00,202408212200,HT,C,Y,37,CON,FLZ173,557.966064453125,2024-08-21 05:49,,,,,False,,,,,,,202408202200-KMFL-WWUS72-NPWMFL,NC
MFL,2024-08-21 17:31,2024-08-21 19:17,2024-08-21 17:31,202408211930,FA,C,Y,141,CAN,FLC086,5094.58447265625,2024-08-21 19:17,00000,N,ER,OO,False,,,,,,,202408211731-KMFL-WGUS82-FLSMFL,CF
MFL,2024-08-21 17:52,2024-08-21 19:18,2024-08-21 17:52,202408211945,FA,C,Y,142,CAN,FLC086,5094.58447265625,2024-08-21 19:18,00000,N,ER,OO,False,,,,,,,202408211752-KMFL-WGUS82-FLSMFL,CF
MFL,2024-08-21 14:00,2024-08-21 22:00,2024-08-20 22:00,202408212200,HT,C,Y,37,CON,FLZ174,1006.6227416992188,2024-08-21 05:49,,,,,False,,,,,,,202408202200-KMFL-WWUS72-NPWMFL,NC
JAX,2024-09-06 22:23,2024-09-06 23:48,2024-09-06 22:23,202409070115,FA,C,Y,308,CAN,FLC019,1668.6431884765625,2024-09-06 23:48,00000,N,ER,OO,False,,,,,,,202409062223-KJAX-WGUS82-FLSJAX,HESS
JAX,2024-09-06 22:23,2024-09-07 01:15,2024-09-06 22:23,202409070115,FA,C,Y,308,CON,FLC031,2169.6953125,2024-09-06 23:48,00000,N,ER,OO,False,,,,,,,202409062223-KJAX-WGUS82-FLSJAX,HESS
MFL,2024-08-21 17:08,2024-08-21 19:15,2024-08-21 17:08,202408211915,FA,C,Y,140,NEW,FLC086,5094.58447265625,2024-08-21 17:08,00000,N,ER,OO,False,,,,,,,202408211708-KMFL-WGUS82-FLSMFL,CF
KEY,2024-08-21 14:00,2024-08-21 20:04,2024-08-21 08:07,202408212300,HT,C,Y,28,CAN,FLZ076,130.48358154296875,2024-08-21 20:04,,,,,False,,,,,,,202408210807-KKEY-WWUS72-NPWKEY,AJP
KEY,2024-08-21 14:00,2024-08-21 20:04,2024-08-21 08:07,202408212300,HT,C,Y,28,CAN,FLZ077,32.21444320678711,2024-08-21 20:04,,,,,False,,,,,,,202408210807-KKEY-WWUS72-NPWKEY,AJP
