wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster
JAX,2024-08-26 22:51,2024-08-27 01:45,2024-08-26 22:51,202408270045,FA,C,Y,254,EXT,FLC023,2076.92138671875,2024-08-27 00:36,00000,N,ER,OO,False,,,,,,,202408262251-KJAX-WGUS82-FLSJAX,KB
MFL,2024-09-05 13:00,2024-09-05 22:00,2024-09-05 06:10,202409052200,HT,C,Y,42,EXP,FLZ173,557.966064453125,2024-09-05 21:52,,,,,False,,,,,,,202409050610-KMFL-WWUS72-NPWMFL,RAG
MFL,2024-09-05 13:00,2024-09-05 22:00,2024-09-05 06:10,202409052200,HT,C,Y,42,EXP,FLZ174,1006.6227416992188,2024-09-05 21:52,,,,,False,,,,,,,202409050610-KMFL-WWUS72-NPWMFL,RAG
MFL,2024-09-05 00:00,2024-09-06 00:00,2024-09-04 22:28,202409060000,RP,C,S,36,EXP,FLZ172,195.8022003173828,2024-09-05 23:34,,,,,False,,,,,,,202409042228-KMFL-WHUS42-CFWMFL,
TAE,2024-08-11 18:00,2024-08-20 01:40,2024-08-09 01:30,202409020000,FL,C,W,81,CAN,FLC067,1420.96240234375,2024-08-20 01:40,BFDF1,1,ER,NO,False,,,,,,,202408090130-KTAE-WGUS42-FLWTAE,DVD
MFL,2024-09-05 00:00,2024-09-06 00:00,2024-09-04 22:28,202409060000,RP,C,S,36,EXP,FLZ173,557.966064453125,2024-09-05 23:34,,,,,False,,,,,,,202409042228-KMFL-WHUS42-CFWMFL,
MFL,2024-09-05 00:00,2024-09-08 00:00,2024-09-04 22:28,202409060000,RP,C,S,36,CON,FLZ168,297.02288818359375,2024-09-07 13:43,,,,,False,,,,,,,202409042228-KMFL-WHUS42-CFWMFL,
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ057,2869.966796875,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ061,1659.14013671875,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ149,323.91094970703125,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ151,726.67138671875,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ155,351.63323974609375,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ160,560.7767333984375,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ162,705.6476440429688,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
MLB,2024-08-21 21:31,2024-08-21 23:00,2024-08-21 21:31,202408212300,FA,C,Y,68,NEW,FLC009,2741.7197265625,2024-08-21 21:31,00000,N,ER,OO,False,,,,,,,202408212131-KMLB-WGUS82-FLSMLB,Schaper
TBW,2024-08-22 02:36,2024-08-22 15:52,2024-08-22 00:57,202408221552,FL,C,W,22,EXT,FLC081,1946.7275390625,2024-08-22 13:24,RYEF1,1,ER,NO,False,,,,,,,202408220057-KTBW-WGUS42-FLWTBW,TBW
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ165,792.4913330078125,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ249,1657.72900390625,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ251,2045.0164794921875,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ255,1595.0870361328125,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ260,934.0535888671875,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ262,1112.4666748046875,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
MOB,2024-08-15 15:00,2024-08-16 00:00,2024-08-14 19:20,202408160000,HT,C,Y,33,CON,FLZ202,577.638427734375,2024-08-15 19:15,,,,,False,,,,,,,202408141920-KMOB-WWUS74-NPWMOB,
MOB,2024-08-15 15:00,2024-08-16 00:00,2024-08-14 19:20,202408160000,HT,C,Y,33,CON,FLZ203,2283.0341796875,2024-08-15 19:15,,,,,False,,,,,,,202408141920-KMOB-WWUS74-NPWMOB,
MOB,2024-08-15 15:00,2024-08-16 00:00,2024-08-14 19:20,202408160000,HT,C,Y,33,CON,FLZ204,366.255126953125,2024-08-15 19:15,,,,,False,,,,,,,202408141920-KMOB-WWUS74-NPWMOB,
TBW,2024-09-05 16:00,2024-09-05 22:00,2024-09-05 07:00,202409052200,HT,C,Y,11,NEW,FLZ265,1323.2781982421875,2024-09-05 07:00,,,,,False,,,,,,,202409050700-KTBW-WWUS72-NPWTBW,TBW
TBW,2024-08-22 10:34,2024-08-22 13:45,2024-08-22 10:34,202408221345,FA,C,Y,63,NEW,FLC115,1494.819091796875,2024-08-22 10:34,00000,N,ER,OO,False,,,,,,,202408221034-KTBW-WGUS82-FLSTBW,TBW
TBW,2024-08-22 10:41,2024-08-22 12:45,2024-08-22 10:41,202408221245,FA,C,Y,64,NEW,FLC103,739.861083984375,2024-08-22 10:41,00000,N,ER,OO,False,,,,,,,202408221041-KTBW-WGUS82-FLSTBW,TBW
MFL,2024-08-15 14:00,2024-08-15 20:01,2024-08-14 21:58,202408152200,HT,C,Y,35,CAN,FLZ067,4095.630615234375,2024-08-15 20:01,,,,,False,,,,,,,202408142158-KMFL-WWUS72-NPWMFL,NC
MFL,2024-08-15 14:00,2024-08-15 20:01,2024-08-14 21:58,202408152200,HT,C,Y,35,CAN,FLZ068,749.71484375,2024-08-15 20:01,,,,,False,,,,,,,202408142158-KMFL-WWUS72-NPWMFL,NC
